iter	Passed	Remaining
700	5129	2187
701	5138	2181
702	5142	2172
703	5158	2168
704	5168	2162
705	5178	2156
706	5185	2149
707	5192	2141
708	5206	2136
709	5215	2130
710	5226	2124
711	5234	2117
712	5243	2110
713	5254	2104
714	5258	2095
715	5261	2087
716	5273	2081
717	5286	2076
718	5294	2069
719	5297	2059
720	5304	2052
721	5321	2049
722	5326	2040
723	5337	2034
724	5343	2026
725	5346	2017
726	5356	2011
727	5361	2003
728	5367	1995
729	5372	1987
730	5379	1979
731	5388	1972
732	5400	1967
733	5412	1961
734	5420	1954
735	5428	1947
736	5437	1940
737	5446	1933
738	5449	1924
739	5451	1915
740	5461	1909
741	5467	1901
742	5477	1894
743	5481	1886
744	5493	1880
745	5495	1871
746	5498	1862
747	5506	1855
748	5511	1846
749	5514	1838
750	5521	1830
751	5524	1821
752	5531	1814
753	5538	1806
754	5549	1800
755	5556	1793
756	5561	1785
757	5571	1778
758	5584	1773
759	5592	1766
760	5602	1759
761	5607	1751
762	5609	1742
763	5615	1734
764	5618	1725
765	5620	1717
766	5623	1708
767	5626	1699
768	5631	1691
769	5633	1682
770	5638	1674
771	5649	1668
772	5652	1659
773	5663	1653
774	5677	1648
775	5684	1641
776	5688	1632
777	5691	1624
778	5694	1615
779	5696	1606
780	5699	1598
781	5701	1589
782	5705	1581
783	5710	1573
784	5715	1565
785	5726	1559
786	5729	1550
787	5741	1544
788	5752	1538
789	5758	1530
790	5770	1524
791	5777	1517
792	5780	1509
793	5788	1501
794	5803	1496
795	5810	1489
796	5819	1482
797	5827	1475
798	5839	1469
799	5853	1463
800	5861	1456
801	5872	1449
802	5874	1441
803	5881	1433
804	5885	1425
805	5891	1418
806	5902	1411
807	5905	1403
808	5914	1396
809	5916	1387
810	5924	1380
811	5937	1374
812	5948	1368
813	5958	1361
814	5963	1353
815	5966	1345
816	5970	1337
817	5981	1330
818	5990	1323
819	5993	1315
820	6003	1308
821	6006	1300
822	6016	1293
823	6023	1286
824	6027	1278
825	6037	1271
826	6049	1265
827	6056	1258
828	6064	1251
829	6070	1243
830	6083	1237
831	6085	1228
832	6105	1224
833	6110	1216
834	6113	1208
835	6116	1199
836	6126	1193
837	6131	1185
838	6139	1178
839	6147	1170
840	6154	1163
841	6162	1156
842	6172	1149
843	6182	1142
844	6189	1135
845	6205	1129
846	6218	1123
847	6222	1115
848	6231	1108
849	6242	1101
850	6249	1094
851	6255	1086
852	6260	1078
853	6268	1071
854	6271	1063
855	6281	1056
856	6284	1048
857	6298	1042
858	6311	1035
859	6315	1028
860	6322	1020
861	6327	1013
862	6333	1005
863	6336	997
864	6341	989
865	6352	982
866	6358	975
867	6365	968
868	6380	961
869	6389	954
870	6396	947
871	6401	939
872	6406	932
873	6413	924
874	6429	918
875	6439	911
876	6454	905
877	6457	897
878	6466	890
879	6469	882
880	6479	875
881	6485	867
882	6497	860
883	6503	853
884	6511	846
885	6521	839
886	6523	831
887	6527	823
888	6529	815
889	6535	807
890	6541	800
891	6550	793
892	6555	785
893	6561	777
894	6568	770
895	6573	762
896	6580	755
897	6587	748
898	6598	741
899	6610	734
900	6616	727
901	6622	719
902	6629	712
903	6635	704
904	6644	697
905	6648	689
906	6661	683
907	6667	675
908	6675	668
909	6683	660
910	6690	653
911	6695	646
912	6698	638
913	6700	630
914	6708	623
915	6710	615
916	6713	607
917	6722	600
918	6731	593
919	6739	586
920	6745	578
921	6757	571
922	6765	564
923	6775	557
924	6785	550
925	6792	542
926	6799	535
927	6810	528
928	6818	521
929	6824	513
930	6828	506
931	6835	498
932	6839	491
933	6843	483
934	6846	475
935	6855	468
936	6858	461
937	6864	453
938	6869	446
939	6872	438
940	6883	431
941	6895	424
942	6905	417
943	6913	410
944	6916	402
945	6922	395
946	6931	387
947	6942	380
948	6953	373
949	6962	366
950	6965	358
951	6978	351
952	6987	344
953	6995	337
954	7008	330
955	7021	323
956	7025	315
957	7030	308
958	7039	300
959	7050	293
960	7056	286
961	7069	279
962	7072	271
963	7088	264
964	7091	257
965	7093	249
966	7103	242
967	7113	235
968	7122	227
969	7124	220
970	7136	213
971	7147	205
972	7154	198
973	7157	191
974	7169	183
975	7177	176
976	7180	169
977	7184	161
978	7186	154
979	7192	146
980	7198	139
981	7204	132
982	7208	124
983	7211	117
984	7213	109
985	7223	102
986	7230	95
987	7235	87
988	7240	80
989	7243	73
990	7255	65
991	7261	58
992	7270	51
993	7272	43
994	7279	36
995	7289	29
996	7296	21
997	7304	14
998	7314	7
999	7317	0
